athlete_id,date,test_type,jump_height_cm,takeoff_velocity_m_s,rsi_mod
FP_009,2026-01-19,CMJ,31,2.47,0.357
FP_010,2026-01-19,CMJ,35.5,2.64,0.304
FP_011,2026-01-19,CMJ,31,2.47,0.322
FP_012,2026-01-19,CMJ,30.8,2.46,0.334
FP_001,2026-01-26,CMJ,37.6,2.72,0.365
FP_002,2026-01-26,CMJ,34.9,2.62,0.347
FP_003,2026-01-26,CMJ,35.7,2.65,0.424
FP_004,2026-01-26,CMJ,34.3,2.59,0.371
FP_005,2026-01-26,CMJ,26,2.26,0.35
FP_006,2026-01-26,CMJ,38.8,2.76,0.396
FP_007,2026-01-26,CMJ,38,2.73,0.339
FP_008,2026-01-26,CMJ,38,2.73,0.345
FP_009,2026-01-26,CMJ,28.8,2.38,0.37
FP_010,2026-01-26,CMJ,40.1,2.81,0.447
FP_011,2026-01-26,CMJ,35.7,2.65,0.364
FP_012,2026-01-26,CMJ,29.9,2.42,0.349
FP_001,2026-02-02,CMJ,34.3,2.59,0.33
FP_002,2026-02-02,CMJ,40.3,2.81,0.341
FP_003,2026-02-02,CMJ,36.7,2.68,0.366
FP_004,2026-02-02,CMJ,34.4,2.6,0.335
FP_005,2026-02-02,CMJ,25.5,2.23,0.436
FP_006,2026-02-02,CMJ,37,2.7,0.307
FP_007,2026-02-02,CMJ,36.7,2.68,0.346
FP_008,2026-02-02,CMJ,41,2.84,0.373
FP_009,2026-02-02,CMJ,31.6,2.49,0.357
FP_010,2026-02-02,CMJ,38.4,2.74,0.375
FP_011,2026-02-02,CMJ,30.9,2.46,0.426
FP_012,2026-02-02,CMJ,30.9,2.46,0.427
FP_001,2026-02-09,CMJ,39.8,2.79,0.34
FP_002,2026-02-09,CMJ,37.2,2.7,0.346
FP_003,2026-02-09,CMJ,37,2.7,0.409
FP_004,2026-02-09,CMJ,37.7,2.72,0.366
FP_005,2026-02-09,CMJ,23.5,2.15,0.35
FP_006,2026-02-09,CMJ,38.1,2.74,0.441
FP_007,2026-02-09,CMJ,37.5,2.71,0.337
FP_008,2026-02-09,CMJ,43.5,2.92,0.441
FP_009,2026-02-09,CMJ,34.6,2.6,0.406
FP_010,2026-02-09,CMJ,39.8,2.79,0.384
FP_011,2026-02-09,CMJ,35.3,2.63,0.409
FP_012,2026-02-09,CMJ,34.1,2.59,0.428
FP_001,2026-02-16,CMJ,38.5,2.75,0.302
FP_002,2026-02-16,CMJ,34.2,2.59,0.44
FP_003,2026-02-16,CMJ,35.9,2.65,0.387
FP_004,2026-02-16,CMJ,29,2.39,0.353
FP_005,2026-02-16,CMJ,27.5,2.32,0.361
FP_006,2026-02-16,CMJ,41.1,2.84,0.339
FP_007,2026-02-16,CMJ,38.7,2.76,0.433
FP_008,2026-02-16,CMJ,43.2,2.91,0.431
FP_009,2026-02-16,CMJ,30.4,2.44,0.303
FP_010,2026-02-16,CMJ,44.6,2.96,0.397
FP_011,2026-02-16,CMJ,30.7,2.46,0.418
FP_012,2026-02-16,CMJ,34.3,2.59,0.353
FP_001,2026-02-23,CMJ,38,2.73,0.399
FP_002,2026-02-23,CMJ,42.3,2.88,0.305
FP_003,2026-02-23,CMJ,37.5,2.71,0.361
FP_004,2026-02-23,CMJ,38.1,2.74,0.398
FP_005,2026-02-23,CMJ,26.2,2.27,0.422
FP_006,2026-02-23,CMJ,39.7,2.79,0.388
FP_007,2026-02-23,CMJ,39.3,2.78,0.276
FP_008,2026-02-23,CMJ,42.2,2.88,0.367
FP_009,2026-02-23,CMJ,35.1,2.62,0.37
FP_010,2026-02-23,CMJ,47.3,3.05,0.443
FP_011,2026-02-23,CMJ,32.9,2.54,0.421
FP_012,2026-02-23,CMJ,32.7,2.53,0.435
FP_001,2026-03-02,CMJ,40.2,2.81,0.349
FP_002,2026-03-02,CMJ,35.1,2.63,0.405
FP_003,2026-03-02,CMJ,41.1,2.84,0.447
FP_004,2026-03-02,CMJ,35.7,2.65,0.414
FP_005,2026-03-02,CMJ,29.1,2.39,0.402
FP_006,2026-03-02,CMJ,38.5,2.75,0.397
FP_007,2026-03-02,CMJ,42.1,2.88,0.389
FP_008,2026-03-02,CMJ,42.2,2.88,0.314
FP_009,2026-03-02,CMJ,33.3,2.56,0.459
FP_010,2026-03-02,CMJ,41,2.83,0.344
FP_011,2026-03-02,CMJ,31.5,2.49,0.446
FP_012,2026-03-02,CMJ,30.9,2.46,0.274
