athlete_id,date,test_type,jump_height_cm,takeoff_velocity_m_s,rsi_mod
FP_012,2026-01-26,CMJ,32.8,2.53,0.397
FP_001,2026-02-02,CMJ,38.9,2.76,0.427
FP_002,2026-02-02,CMJ,38.4,2.74,0.218
FP_003,2026-02-02,CMJ,36,2.66,0.362
FP_004,2026-02-02,CMJ,35.8,2.65,0.369
FP_005,2026-02-02,CMJ,35.1,2.62,0.333
FP_006,2026-02-02,CMJ,27.7,2.33,0.376
FP_007,2026-02-02,CMJ,33.6,2.57,0.293
FP_008,2026-02-02,CMJ,32.6,2.53,0.269
FP_009,2026-02-02,CMJ,34.7,2.61,0.329
FP_010,2026-02-02,CMJ,37.7,2.72,0.323
FP_011,2026-02-02,CMJ,33.6,2.57,0.38
FP_012,2026-02-02,CMJ,29.7,2.41,0.402
FP_001,2026-02-09,CMJ,39.5,2.79,0.384
FP_002,2026-02-09,CMJ,41.3,2.85,0.383
FP_003,2026-02-09,CMJ,35.1,2.62,0.344
FP_004,2026-02-09,CMJ,34.7,2.61,0.358
FP_005,2026-02-09,CMJ,35.7,2.65,0.383
FP_006,2026-02-09,CMJ,33.6,2.57,0.412
FP_007,2026-02-09,CMJ,35.4,2.64,0.332
FP_008,2026-02-09,CMJ,33.5,2.56,0.309
FP_009,2026-02-09,CMJ,32,2.51,0.445
FP_010,2026-02-09,CMJ,33.4,2.56,0.377
FP_011,2026-02-09,CMJ,33.3,2.56,0.318
FP_012,2026-02-09,CMJ,31.8,2.5,0.48
FP_001,2026-02-16,CMJ,43.2,2.91,0.363
FP_002,2026-02-16,CMJ,37.9,2.73,0.353
FP_003,2026-02-16,CMJ,35.6,2.64,0.364
FP_004,2026-02-16,CMJ,36,2.66,0.463
FP_005,2026-02-16,CMJ,35.4,2.64,0.434
FP_006,2026-02-16,CMJ,30.9,2.46,0.327
FP_007,2026-02-16,CMJ,38,2.73,0.378
FP_008,2026-02-16,CMJ,36.8,2.69,0.341
FP_009,2026-02-16,CMJ,32.6,2.53,0.401
FP_010,2026-02-16,CMJ,35.9,2.65,0.409
FP_011,2026-02-16,CMJ,34.3,2.59,0.448
FP_012,2026-02-16,CMJ,28.8,2.38,0.285
FP_001,2026-02-23,CMJ,39.9,2.8,0.42
FP_002,2026-02-23,CMJ,43.5,2.92,0.443
FP_003,2026-02-23,CMJ,35.4,2.64,0.373
FP_004,2026-02-23,CMJ,38.9,2.76,0.43
FP_005,2026-02-23,CMJ,37.5,2.71,0.364
FP_006,2026-02-23,CMJ,31.4,2.48,0.362
FP_007,2026-02-23,CMJ,37.6,2.71,0.381
FP_008,2026-02-23,CMJ,36.9,2.69,0.449
FP_009,2026-02-23,CMJ,34.2,2.59,0.449
FP_010,2026-02-23,CMJ,35.4,2.63,0.297
FP_011,2026-02-23,CMJ,29.8,2.42,0.323
FP_012,2026-02-23,CMJ,30.7,2.45,0.256
FP_001,2026-03-02,CMJ,40.5,2.82,0.386
FP_002,2026-03-02,CMJ,39.5,2.78,0.414
FP_003,2026-03-02,CMJ,39.4,2.78,0.366
FP_004,2026-03-02,CMJ,38.6,2.75,0.398
FP_005,2026-03-02,CMJ,33.6,2.57,0.397
FP_006,2026-03-02,CMJ,32.1,2.51,0.302
FP_007,2026-03-02,CMJ,38.1,2.73,0.465
FP_008,2026-03-02,CMJ,34.1,2.59,0.464
FP_009,2026-03-02,CMJ,30.3,2.44,0.369
FP_010,2026-03-02,CMJ,37.9,2.73,0.357
FP_011,2026-03-02,CMJ,34.3,2.59,0.442
FP_012,2026-03-02,CMJ,31.9,2.5,0.36
