athlete_id,date,test_type,jump_height_cm,takeoff_velocity_m_s,rsi_mod
FP_004,2025-12-29,CMJ,31,2.47,0.327
FP_005,2025-12-29,CMJ,36.6,2.68,0.382
FP_006,2025-12-29,CMJ,30.4,2.44,0.301
FP_007,2025-12-29,CMJ,40.3,2.81,0.441
FP_008,2025-12-29,CMJ,40.4,2.82,0.405
FP_009,2025-12-29,CMJ,32.5,2.52,0.341
FP_010,2025-12-29,CMJ,32.7,2.53,0.294
FP_011,2025-12-29,CMJ,31.1,2.47,0.332
FP_012,2025-12-29,CMJ,31,2.47,0.381
FP_001,2026-01-05,CMJ,36.1,2.66,0.35
FP_002,2026-01-05,CMJ,38.8,2.76,0.333
FP_003,2026-01-05,CMJ,28.6,2.37,0.369
FP_004,2026-01-05,CMJ,27.9,2.34,0.337
FP_005,2026-01-05,CMJ,36.3,2.67,0.362
FP_006,2026-01-05,CMJ,32.5,2.53,0.325
FP_007,2026-01-05,CMJ,41.8,2.86,0.351
FP_008,2026-01-05,CMJ,40.6,2.82,0.344
FP_009,2026-01-05,CMJ,32.4,2.52,0.357
FP_010,2026-01-05,CMJ,38.5,2.75,0.299
FP_011,2026-01-05,CMJ,29.1,2.39,0.45
FP_012,2026-01-05,CMJ,33.7,2.57,0.491
FP_001,2026-01-12,CMJ,38.1,2.74,0.43
FP_002,2026-01-12,CMJ,36.6,2.68,0.355
FP_003,2026-01-12,CMJ,26.1,2.26,0.322
FP_004,2026-01-12,CMJ,25.6,2.24,0.348
FP_005,2026-01-12,CMJ,35.1,2.63,0.396
FP_006,2026-01-12,CMJ,31.7,2.49,0.287
FP_007,2026-01-12,CMJ,39.2,2.77,0.378
FP_008,2026-01-12,CMJ,37.3,2.7,0.377
FP_009,2026-01-12,CMJ,32.4,2.52,0.41
FP_010,2026-01-12,CMJ,38.8,2.76,0.416
FP_011,2026-01-12,CMJ,31.1,2.47,0.375
FP_012,2026-01-12,CMJ,31.7,2.5,0.425
FP_001,2026-01-19,CMJ,38.5,2.75,0.292
FP_002,2026-01-19,CMJ,39.3,2.78,0.324
FP_003,2026-01-19,CMJ,26.6,2.28,0.317
FP_004,2026-01-19,CMJ,28,2.34,0.341
FP_005,2026-01-19,CMJ,35.5,2.64,0.44
FP_006,2026-01-19,CMJ,29.8,2.42,0.443
FP_007,2026-01-19,CMJ,38.6,2.75,0.413
FP_008,2026-01-19,CMJ,40.6,2.82,0.321
FP_009,2026-01-19,CMJ,34.9,2.62,0.342
FP_010,2026-01-19,CMJ,38.9,2.76,0.414
FP_011,2026-01-19,CMJ,28.7,2.37,0.31
FP_012,2026-01-19,CMJ,32.1,2.51,0.463
FP_001,2026-01-26,CMJ,39,2.77,0.436
FP_002,2026-01-26,CMJ,37.9,2.73,0.442
FP_003,2026-01-26,CMJ,28.6,2.37,0.392
FP_004,2026-01-26,CMJ,32.7,2.53,0.342
FP_005,2026-01-26,CMJ,37.7,2.72,0.394
FP_006,2026-01-26,CMJ,33.2,2.55,0.386
FP_007,2026-01-26,CMJ,38.2,2.74,0.321
FP_008,2026-01-26,CMJ,36.1,2.66,0.339
FP_009,2026-01-26,CMJ,34.3,2.59,0.409
FP_010,2026-01-26,CMJ,35,2.62,0.261
FP_011,2026-01-26,CMJ,34.4,2.6,0.399
FP_012,2026-01-26,CMJ,30.9,2.46,0.401
FP_001,2026-02-02,CMJ,37.4,2.71,0.429
FP_002,2026-02-02,CMJ,43.9,2.93,0.442
FP_003,2026-02-02,CMJ,26.6,2.29,0.402
FP_004,2026-02-02,CMJ,34.7,2.61,0.43
FP_005,2026-02-02,CMJ,34.5,2.6,0.398
FP_006,2026-02-02,CMJ,35.6,2.64,0.417
FP_007,2026-02-02,CMJ,38.6,2.75,0.384
FP_008,2026-02-02,CMJ,37.7,2.72,0.304
FP_009,2026-02-02,CMJ,34.2,2.59,0.33
FP_010,2026-02-02,CMJ,40.8,2.83,0.455
FP_011,2026-02-02,CMJ,32.5,2.53,0.377
FP_012,2026-02-02,CMJ,33.8,2.57,0.327
FP_001,2026-02-09,CMJ,38.3,2.74,0.364
FP_002,2026-02-09,CMJ,37.7,2.72,0.369
FP_003,2026-02-09,CMJ,25.8,2.25,0.431
FP_004,2026-02-09,CMJ,31,2.47,0.445
FP_005,2026-02-09,CMJ,34.3,2.59,0.357
FP_006,2026-02-09,CMJ,35.3,2.63,0.403
FP_007,2026-02-09,CMJ,37.5,2.71,0.371
FP_008,2026-02-09,CMJ,40.2,2.81,0.353
FP_009,2026-02-09,CMJ,36.6,2.68,0.312
FP_010,2026-02-09,CMJ,40.3,2.81,0.365
FP_011,2026-02-09,CMJ,33.7,2.57,0.379
FP_012,2026-02-09,CMJ,32.8,2.54,0.375
FP_001,2026-02-16,CMJ,38.9,2.76,0.37
FP_002,2026-02-16,CMJ,40.1,2.81,0.35
FP_003,2026-02-16,CMJ,26.7,2.29,0.432
FP_004,2026-02-16,CMJ,28.9,2.38,0.483
FP_005,2026-02-16,CMJ,36.6,2.68,0.403
FP_006,2026-02-16,CMJ,34.6,2.6,0.397
FP_007,2026-02-16,CMJ,39.3,2.78,0.366
FP_008,2026-02-16,CMJ,40.9,2.83,0.35
FP_009,2026-02-16,CMJ,35,2.62,0.398
FP_010,2026-02-16,CMJ,40.6,2.82,0.384
FP_011,2026-02-16,CMJ,31.3,2.48,0.341
FP_012,2026-02-16,CMJ,36.4,2.67,0.429
FP_001,2026-02-23,CMJ,39.7,2.79,0.382
FP_002,2026-02-23,CMJ,39.2,2.77,0.367
FP_003,2026-02-23,CMJ,29.2,2.39,0.381
FP_004,2026-02-23,CMJ,33.1,2.55,0.379
FP_005,2026-02-23,CMJ,39.8,2.79,0.356
FP_006,2026-02-23,CMJ,31.9,2.5,0.371
FP_007,2026-02-23,CMJ,43.8,2.93,0.414
FP_008,2026-02-23,CMJ,40.1,2.8,0.371
FP_009,2026-02-23,CMJ,37.4,2.71,0.491
FP_010,2026-02-23,CMJ,38.6,2.75,0.421
FP_011,2026-02-23,CMJ,29.9,2.42,0.39
FP_012,2026-02-23,CMJ,31.9,2.5,0.391
