athlete_id,date,session_type,minutes,distance_m,hid_m,peak_speed_m_s,accel_hi_count,decel_hi_count,player_load
GPS_003,2025-12-09,PRACTICE,44.4,2367,357,8.67,19,14,82.1
GPS_004,2025-12-09,PRACTICE,34.3,1583,128,7.11,4,16,49
GPS_005,2025-12-09,PRACTICE,41.3,1835,243,7.04,24,10,75.4
GPS_006,2025-12-09,PRACTICE,38.1,1652,123,8.11,13,25,76.6
GPS_007,2025-12-09,PRACTICE,49,2753,708,8.28,21,17,102.2
GPS_008,2025-12-09,PRACTICE,46.3,1526,220,8.09,26,20,89.8
GPS_009,2025-12-09,PRACTICE,22.8,1295,74,6.81,12,17,58.3
GPS_010,2025-12-09,PRACTICE,59.3,2381,470,6.25,7,15,68.6
GPS_011,2025-12-09,PRACTICE,19.6,1064,85,6.88,25,14,71.3
GPS_012,2025-12-09,PRACTICE,49.2,3238,-4,7.36,20,13,81.8
GPS_001,2025-12-10,PRACTICE,34.1,1977,246,7.21,9,29,82.9
GPS_002,2025-12-10,PRACTICE,53.2,2642,472,8.24,13,10,72.7
GPS_003,2025-12-10,PRACTICE,46.2,2576,217,8.02,10,23,80.7
GPS_004,2025-12-10,PRACTICE,56.5,1985,201,7.14,13,16,68.4
GPS_005,2025-12-10,PRACTICE,40.1,1874,235,7.84,21,8,68.1
GPS_006,2025-12-10,PRACTICE,16.5,819,91,7.49,24,20,76.5
GPS_007,2025-12-10,PRACTICE,39.6,963,176,7.52,20,17,69.5
GPS_008,2025-12-10,PRACTICE,43.1,3062,806,7.7,4,11,73.3
GPS_009,2025-12-10,PRACTICE,54.8,3065,494,8.84,10,17,83.5
GPS_010,2025-12-10,PRACTICE,29.7,1886,333,7.35,15,19,78.2
GPS_011,2025-12-10,PRACTICE,39.2,2050,282,6.98,11,23,78.6
GPS_012,2025-12-10,PRACTICE,37.2,2143,240,6.34,9,9,54.4
GPS_001,2025-12-11,PRACTICE,57.8,4193,986,7.48,18,18,120.6
GPS_002,2025-12-11,PRACTICE,25,1318,199,9,17,13,63.2
GPS_003,2025-12-11,PRACTICE,53.1,2963,273,7.81,18,12,81.5
GPS_004,2025-12-11,PRACTICE,54.1,3153,523,7.28,20,17,100.1
GPS_005,2025-12-11,PRACTICE,40.8,2305,362,8.44,24,24,104.1
GPS_006,2025-12-11,PRACTICE,51,3020,411,6.25,11,12,75
GPS_007,2025-12-11,PRACTICE,47.4,2369,445,6.39,17,15,82.8
GPS_008,2025-12-11,PRACTICE,34.5,1698,315,8.75,23,20,89.4
GPS_009,2025-12-11,PRACTICE,34.7,1400,115,7.41,14,10,52.9
GPS_010,2025-12-11,PRACTICE,20.8,1017,270,8.31,13,12,54.4
GPS_011,2025-12-11,PRACTICE,58.6,2820,387,7.49,16,21,93.4
GPS_012,2025-12-11,PRACTICE,55.6,2583,261,8.29,8,12,62.4
GPS_001,2025-12-12,PRACTICE,55.3,3200,747,9.56,10,19,94.2
GPS_002,2025-12-12,PRACTICE,41.8,2325,309,8.49,15,12,71.5
GPS_003,2025-12-12,PRACTICE,35.9,1476,136,6.62,16,23,76.7
GPS_004,2025-12-12,PRACTICE,24.6,1184,140,7.15,14,20,66.3
GPS_005,2025-12-12,PRACTICE,36,1985,235,6.85,18,23,87.2
GPS_006,2025-12-12,PRACTICE,32.5,1823,191,6.87,11,16,63.5
GPS_007,2025-12-12,PRACTICE,27.7,1485,139,8.25,18,24,81.3
GPS_008,2025-12-12,PRACTICE,45.2,2087,436,7.75,7,16,66.3
GPS_009,2025-12-12,PRACTICE,37,2596,413,8.73,16,21,91.8
GPS_010,2025-12-12,PRACTICE,46.7,2676,661,8.31,12,17,86.8
GPS_011,2025-12-12,PRACTICE,33.9,1561,229,7.07,16,24,81.3
GPS_012,2025-12-12,PRACTICE,63.6,4172,383,7.87,17,25,114.3
GPS_001,2025-12-13,OFF,0,0,0,NA,0,0,0
GPS_002,2025-12-13,OFF,0,0,0,NA,0,0,0
GPS_003,2025-12-13,OFF,0,0,0,NA,0,0,0
GPS_004,2025-12-13,OFF,0,0,0,NA,0,0,0
GPS_005,2025-12-13,OFF,0,0,0,NA,0,0,0
GPS_006,2025-12-13,OFF,0,0,0,NA,0,0,0
GPS_007,2025-12-13,OFF,0,0,0,NA,0,0,0
GPS_008,2025-12-13,OFF,0,0,0,NA,0,0,0
GPS_009,2025-12-13,OFF,0,0,0,NA,0,0,0
GPS_010,2025-12-13,OFF,0,0,0,NA,0,0,0
GPS_011,2025-12-13,OFF,0,0,0,NA,0,0,0
GPS_012,2025-12-13,OFF,0,0,0,NA,0,0,0
GPS_001,2025-12-14,OFF,0,0,0,NA,0,0,0
GPS_002,2025-12-14,OFF,0,0,0,NA,0,0,0
GPS_003,2025-12-14,OFF,0,0,0,NA,0,0,0
GPS_004,2025-12-14,OFF,0,0,0,NA,0,0,0
GPS_005,2025-12-14,OFF,0,0,0,NA,0,0,0
GPS_006,2025-12-14,OFF,0,0,0,NA,0,0,0
GPS_007,2025-12-14,OFF,0,0,0,NA,0,0,0
GPS_008,2025-12-14,OFF,0,0,0,NA,0,0,0
GPS_009,2025-12-14,OFF,0,0,0,NA,0,0,0
GPS_010,2025-12-14,OFF,0,0,0,NA,0,0,0
GPS_011,2025-12-14,OFF,0,0,0,NA,0,0,0
GPS_012,2025-12-14,OFF,0,0,0,NA,0,0,0
GPS_001,2025-12-15,PRACTICE,58.3,2616,329,8.49,20,10,79.4
GPS_002,2025-12-15,PRACTICE,49.4,2019,425,6.38,6,19,68.3
GPS_003,2025-12-15,PRACTICE,42.5,1757,198,7.41,15,5,52.5
GPS_004,2025-12-15,PRACTICE,16.5,991,151,8.56,8,5,33.2
GPS_005,2025-12-15,PRACTICE,41.1,2596,336,8.38,5,13,61.4
GPS_006,2025-12-15,PRACTICE,34.2,1547,192,9.63,11,17,62.3
GPS_007,2025-12-15,PRACTICE,54.3,3486,467,8.25,12,6,73.5
GPS_008,2025-12-15,PRACTICE,24.9,1364,154,7.5,22,14,71.5
GPS_009,2025-12-15,PRACTICE,25.1,1151,142,6.72,15,11,54.1
GPS_010,2025-12-15,PRACTICE,39.6,2635,632,8.78,17,16,91.6
GPS_011,2025-12-15,PRACTICE,41.4,2503,400,6.65,11,5,59
GPS_012,2025-12-15,PRACTICE,35.4,1398,154,7.46,15,25,77.8
GPS_001,2025-12-16,PRACTICE,40.1,2457,494,7.69,14,14,78.9
GPS_002,2025-12-16,PRACTICE,39.2,2611,460,7.5,14,22,91.6
GPS_003,2025-12-16,PRACTICE,36.5,1834,188,7.62,17,17,74
GPS_004,2025-12-16,PRACTICE,34.9,1616,139,7.85,17,3,49.6
GPS_005,2025-12-16,PRACTICE,40.4,2457,294,7.61,0,14,52.9
GPS_006,2025-12-16,PRACTICE,52.2,3588,424,7.09,16,26,109.5
GPS_007,2025-12-16,PRACTICE,61.6,2941,695,6.24,16,22,103.8
GPS_008,2025-12-16,PRACTICE,52.7,3008,524,7.47,13,18,89.7
GPS_009,2025-12-16,PRACTICE,42.5,3037,373,7.83,22,21,104.2
GPS_010,2025-12-16,PRACTICE,29.4,1468,455,7.62,11,1,44
GPS_011,2025-12-16,PRACTICE,51.5,2510,351,8.5,17,17,84.9
GPS_012,2025-12-16,PRACTICE,57.4,2606,226,8.62,20,29,105.2
GPS_001,2025-12-17,PRACTICE,40.1,1648,303,6.85,17,13,69.1
GPS_002,2025-12-17,PRACTICE,40,1530,313,8.23,14,21,75.6
GPS_003,2025-12-17,PRACTICE,55.1,3233,351,6.99,9,12,72.6
GPS_004,2025-12-17,PRACTICE,43.9,2173,187,8.56,21,22,90.9
GPS_005,2025-12-17,PRACTICE,65.8,2479,397,8.21,11,15,73.7
GPS_006,2025-12-17,PRACTICE,41.5,2400,264,7.14,21,16,86.1
GPS_007,2025-12-17,PRACTICE,25,1156,236,5.98,20,13,67
GPS_008,2025-12-17,PRACTICE,53.1,1833,279,8.77,19,20,83.8
GPS_009,2025-12-17,PRACTICE,45.8,2084,231,7.41,14,24,83.6
GPS_010,2025-12-17,PRACTICE,39.2,1618,267,7.03,3,23,61.9
GPS_011,2025-12-17,PRACTICE,28.8,1489,199,7.01,19,4,54.3
GPS_012,2025-12-17,PRACTICE,51.2,3090,486,8.83,13,16,86.5
GPS_001,2025-12-18,PRACTICE,48.2,3034,513,9.77,10,7,68.7
GPS_002,2025-12-18,PRACTICE,44.9,2584,468,7.93,9,20,81
GPS_003,2025-12-18,PRACTICE,58.3,2588,269,7.13,12,20,80.6
GPS_004,2025-12-18,PRACTICE,30.8,1775,247,8.44,13,21,74.9
GPS_005,2025-12-18,PRACTICE,44.2,1818,155,7.99,21,17,79
GPS_006,2025-12-18,PRACTICE,39.4,2361,283,8.08,17,23,90.7
GPS_007,2025-12-18,PRACTICE,47.4,2407,581,7.92,12,0,56.6
GPS_008,2025-12-18,PRACTICE,46.6,2250,377,7.51,16,15,78.4
GPS_009,2025-12-18,PRACTICE,40.8,2403,242,9.12,21,15,84.1
GPS_010,2025-12-18,PRACTICE,26.3,1477,222,7.4,12,22,71.3
GPS_011,2025-12-18,PRACTICE,42.5,1373,144,8.53,23,19,80.3
GPS_012,2025-12-18,PRACTICE,57.5,1821,257,7.58,12,26,81.6
GPS_001,2025-12-19,PRACTICE,21.4,1585,368,9.02,14,11,62.6
GPS_002,2025-12-19,PRACTICE,36.3,1979,352,6.48,16,10,67.6
GPS_003,2025-12-19,PRACTICE,47.3,3153,320,7.73,21,14,92
GPS_004,2025-12-19,PRACTICE,30.5,2059,230,8.39,25,21,95.3
GPS_005,2025-12-19,PRACTICE,31.2,1617,115,7.67,20,24,85
GPS_006,2025-12-19,PRACTICE,31.4,1218,89,7.65,5,21,53.4
GPS_007,2025-12-19,PRACTICE,33.8,1268,220,7.48,10,17,58.7
GPS_008,2025-12-19,PRACTICE,45.8,1245,271,8.36,15,13,61.2
GPS_009,2025-12-19,PRACTICE,63,4347,624,8.91,12,25,114.6
GPS_010,2025-12-19,PRACTICE,47.8,2473,542,6.93,13,18,84.8
GPS_011,2025-12-19,PRACTICE,33.5,2067,288,7.95,16,19,80.4
GPS_012,2025-12-19,PRACTICE,36.2,1820,204,9.2,10,18,65.3
GPS_001,2025-12-20,OFF,0,0,0,NA,0,0,0
GPS_002,2025-12-20,OFF,0,0,0,NA,0,0,0
GPS_003,2025-12-20,OFF,0,0,0,NA,0,0,0
GPS_004,2025-12-20,OFF,0,0,0,NA,0,0,0
GPS_005,2025-12-20,OFF,0,0,0,NA,0,0,0
GPS_006,2025-12-20,OFF,0,0,0,NA,0,0,0
GPS_007,2025-12-20,OFF,0,0,0,NA,0,0,0
GPS_008,2025-12-20,OFF,0,0,0,NA,0,0,0
GPS_009,2025-12-20,OFF,0,0,0,NA,0,0,0
GPS_010,2025-12-20,OFF,0,0,0,NA,0,0,0
GPS_011,2025-12-20,OFF,0,0,0,NA,0,0,0
GPS_012,2025-12-20,OFF,0,0,0,NA,0,0,0
GPS_001,2025-12-21,OFF,0,0,0,NA,0,0,0
GPS_002,2025-12-21,OFF,0,0,0,NA,0,0,0
GPS_003,2025-12-21,OFF,0,0,0,NA,0,0,0
GPS_004,2025-12-21,OFF,0,0,0,NA,0,0,0
GPS_005,2025-12-21,OFF,0,0,0,NA,0,0,0
GPS_006,2025-12-21,OFF,0,0,0,NA,0,0,0
GPS_007,2025-12-21,OFF,0,0,0,NA,0,0,0
GPS_008,2025-12-21,OFF,0,0,0,NA,0,0,0
GPS_009,2025-12-21,OFF,0,0,0,NA,0,0,0
GPS_010,2025-12-21,OFF,0,0,0,NA,0,0,0
GPS_011,2025-12-21,OFF,0,0,0,NA,0,0,0
GPS_012,2025-12-21,OFF,0,0,0,NA,0,0,0
GPS_001,2025-12-22,PRACTICE,58.9,3010,665,7.63,18,6,82.7
GPS_002,2025-12-22,PRACTICE,35.1,1907,433,7.28,21,10,76.4
GPS_003,2025-12-22,PRACTICE,38,1615,149,6.93,12,12,55.9
GPS_004,2025-12-22,PRACTICE,42.9,2109,208,6.64,18,15,75.8
GPS_005,2025-12-22,PRACTICE,35.2,2147,303,7.33,5,17,62.1
GPS_006,2025-12-22,PRACTICE,20.8,1081,129,7.5,17,15,62
GPS_007,2025-12-22,PRACTICE,46.7,2174,398,6.5,21,10,78.2
GPS_008,2025-12-22,PRACTICE,47.5,2262,337,8.05,19,25,97
GPS_009,2025-12-22,PRACTICE,39.4,3102,379,7.07,15,14,84
GPS_010,2025-12-22,PRACTICE,36.3,1645,310,8.59,19,17,78.2
GPS_011,2025-12-22,PRACTICE,33.6,1987,282,6.7,25,17,89.9
GPS_012,2025-12-22,PRACTICE,62.5,4125,657,7.47,15,20,110.2
GPS_001,2025-12-23,PRACTICE,38.9,1605,230,8.75,2,6,33.8
GPS_002,2025-12-23,PRACTICE,41.6,2025,418,7.36,18,24,93.7
GPS_003,2025-12-23,PRACTICE,43.1,2452,321,7.98,20,14,83.6
GPS_004,2025-12-23,PRACTICE,39.6,2583,468,6.66,18,19,93
GPS_005,2025-12-23,PRACTICE,67.1,4323,458,8.09,25,13,111.7
GPS_006,2025-12-23,PRACTICE,41.9,2169,217,7.82,12,20,75.1
GPS_007,2025-12-23,PRACTICE,30.6,1722,322,7.9,16,18,76.3
GPS_008,2025-12-23,PRACTICE,45.3,2471,535,7.53,25,16,99.6
GPS_009,2025-12-23,PRACTICE,53.5,2958,188,6.59,11,16,74.8
GPS_010,2025-12-23,PRACTICE,31.3,1581,345,6.08,11,12,58.9
GPS_011,2025-12-23,PRACTICE,59.5,1965,214,8.19,13,12,62.5
GPS_012,2025-12-23,PRACTICE,44.9,2228,214,8.61,6,18,63.6
GPS_001,2025-12-24,PRACTICE,40.1,2226,500,8.15,15,17,82.8
GPS_002,2025-12-24,PRACTICE,51.1,2888,533,7.51,8,14,75.2
GPS_003,2025-12-24,PRACTICE,27.3,1423,245,6.59,5,15,50.4
GPS_004,2025-12-24,PRACTICE,57.6,3269,264,7.25,20,7,79.8
GPS_005,2025-12-24,PRACTICE,35.8,1786,211,7.72,10,16,62.1
GPS_006,2025-12-24,PRACTICE,32.7,1123,131,9.33,23,28,91
GPS_007,2025-12-24,PRACTICE,36.5,1843,345,7.23,14,27,88.5
GPS_008,2025-12-24,PRACTICE,42.3,2164,496,8.14,16,30,103
GPS_009,2025-12-24,PRACTICE,32.1,883,96,7.67,25,21,80.2
GPS_010,2025-12-24,PRACTICE,15.8,978,149,6.56,18,28,82.5
GPS_011,2025-12-24,PRACTICE,43.5,1780,187,7.91,13,16,66
GPS_012,2025-12-24,PRACTICE,51,3006,450,6.87,13,18,87.8
GPS_001,2025-12-25,PRACTICE,39.8,2191,308,8.17,16,13,73.1
GPS_002,2025-12-25,PRACTICE,46.2,1954,459,8.14,16,22,88
GPS_003,2025-12-25,PRACTICE,50,2752,337,7.62,14,9,70.4
GPS_004,2025-12-25,PRACTICE,31.9,2100,305,7.5,14,26,88.6
GPS_005,2025-12-25,PRACTICE,59.9,3260,581,7.73,16,21,102.6
GPS_006,2025-12-25,PRACTICE,33.4,1654,207,8.37,18,18,75.7
GPS_007,2025-12-25,PRACTICE,42.5,2251,372,9.2,10,23,81.3
GPS_008,2025-12-25,PRACTICE,61.1,3004,640,6.78,11,11,79
GPS_009,2025-12-25,PRACTICE,44.5,1594,203,6.86,14,19,70.5
GPS_010,2025-12-25,PRACTICE,41.7,2260,456,9.03,13,10,68.5
GPS_011,2025-12-25,PRACTICE,30.1,1287,227,7.56,14,15,62.1
GPS_012,2025-12-25,PRACTICE,29.8,1073,134,7.13,16,24,74.1
GPS_001,2025-12-26,PRACTICE,36.3,1163,217,8.03,25,20,84.6
GPS_002,2025-12-26,PRACTICE,37.4,1817,235,9.21,13,21,75
GPS_003,2025-12-26,PRACTICE,59.5,3517,406,7.21,11,22,94.8
GPS_004,2025-12-26,PRACTICE,36.1,1318,167,7.89,23,8,63.9
GPS_005,2025-12-26,PRACTICE,30,1342,201,8.04,12,17,61.9
GPS_006,2025-12-26,PRACTICE,49.4,2829,348,7.39,7,21,79
GPS_007,2025-12-26,PRACTICE,43.7,1703,258,8.58,5,29,74.5
GPS_008,2025-12-26,PRACTICE,43.2,2950,293,7.63,9,8,62.3
GPS_009,2025-12-26,PRACTICE,57.7,2537,246,6.66,9,23,79.5
GPS_010,2025-12-26,PRACTICE,52.7,2510,212,8.11,15,4,58.9
GPS_011,2025-12-26,PRACTICE,54.3,3541,303,8.21,7,9,67
GPS_012,2025-12-26,PRACTICE,39.4,2295,285,7.86,18,31,103.6
GPS_001,2025-12-27,OFF,0,0,0,NA,0,0,0
GPS_002,2025-12-27,OFF,0,0,0,NA,0,0,0
GPS_003,2025-12-27,OFF,0,0,0,NA,0,0,0
GPS_004,2025-12-27,OFF,0,0,0,NA,0,0,0
GPS_005,2025-12-27,OFF,0,0,0,NA,0,0,0
GPS_006,2025-12-27,OFF,0,0,0,NA,0,0,0
GPS_007,2025-12-27,OFF,0,0,0,NA,0,0,0
GPS_008,2025-12-27,OFF,0,0,0,NA,0,0,0
GPS_009,2025-12-27,OFF,0,0,0,NA,0,0,0
GPS_010,2025-12-27,OFF,0,0,0,NA,0,0,0
GPS_011,2025-12-27,OFF,0,0,0,NA,0,0,0
GPS_012,2025-12-27,OFF,0,0,0,NA,0,0,0
GPS_001,2025-12-28,OFF,0,0,0,NA,0,0,0
GPS_002,2025-12-28,OFF,0,0,0,NA,0,0,0
GPS_003,2025-12-28,OFF,0,0,0,NA,0,0,0
GPS_004,2025-12-28,OFF,0,0,0,NA,0,0,0
GPS_005,2025-12-28,OFF,0,0,0,NA,0,0,0
GPS_006,2025-12-28,OFF,0,0,0,NA,0,0,0
GPS_007,2025-12-28,OFF,0,0,0,NA,0,0,0
GPS_008,2025-12-28,OFF,0,0,0,NA,0,0,0
GPS_009,2025-12-28,OFF,0,0,0,NA,0,0,0
GPS_010,2025-12-28,OFF,0,0,0,NA,0,0,0
GPS_011,2025-12-28,OFF,0,0,0,NA,0,0,0
GPS_012,2025-12-28,OFF,0,0,0,NA,0,0,0
GPS_001,2025-12-29,PRACTICE,19,1049,252,6.92,3,11,37.8
GPS_002,2025-12-29,PRACTICE,36.7,1882,251,7.09,12,18,70.1
GPS_003,2025-12-29,PRACTICE,51.2,3377,546,7.16,14,10,83.4
GPS_004,2025-12-29,PRACTICE,58.3,2029,258,6.46,14,15,70.2
GPS_005,2025-12-29,PRACTICE,48.1,2857,345,6.91,20,23,101.7
GPS_006,2025-12-29,PRACTICE,40.6,1895,329,6.8,6,13,55.7
GPS_007,2025-12-29,PRACTICE,48.4,2263,567,6.47,8,13,68.3
GPS_008,2025-12-29,PRACTICE,44.3,2302,467,7.61,13,26,93.2
GPS_009,2025-12-29,PRACTICE,47.5,3189,365,7.26,22,8,86
GPS_010,2025-12-29,PRACTICE,46.9,1759,259,7.13,7,15,57.1
GPS_011,2025-12-29,PRACTICE,57.8,2483,346,8.68,20,17,89
GPS_012,2025-12-29,PRACTICE,45.7,2293,225,7.12,15,23,85.6
GPS_001,2025-12-30,PRACTICE,37.8,2054,354,7.09,19,11,74.4
GPS_002,2025-12-30,PRACTICE,52.7,2876,481,6.13,22,22,106.8
GPS_003,2025-12-30,PRACTICE,33.6,2458,145,8.23,13,13,67.2
GPS_004,2025-12-30,PRACTICE,38.9,2133,258,7.72,15,16,74.3
GPS_005,2025-12-30,PRACTICE,16.8,869,91,7.57,11,12,45.5
GPS_006,2025-12-30,PRACTICE,44,2395,314,7.97,5,18,66.3
GPS_007,2025-12-30,PRACTICE,48.6,2094,427,7.91,18,23,93.1
GPS_008,2025-12-30,PRACTICE,23.9,1441,308,6.87,16,9,59.6
GPS_009,2025-12-30,PRACTICE,68.7,3067,202,8.71,12,21,85.2
GPS_010,2025-12-30,PRACTICE,32.2,1377,320,7.1,26,28,102.8
GPS_011,2025-12-30,PRACTICE,28.4,1621,62,6.92,16,21,73.3
GPS_012,2025-12-30,PRACTICE,38.5,2250,138,6.91,16,7,60.5
GPS_001,2025-12-31,PRACTICE,45.1,1622,384,6.08,8,15,60.3
GPS_002,2025-12-31,PRACTICE,37.4,2490,546,7.99,21,18,97.1
